ticker,holding_name,weight_pct,sector,region,market_value,shares
TEL2B,Tele2 AB,0.0089,Telecommunications,SE,"US$6,520,149.15","347,387"
601138,Foxconn Industrial Internet Co Ltd,0.0089,Telecommunications,CN,"US$6,511,224.66","599,800"
PODD,Insulet Corp,0.0089,Health Care,US,"US$6,505,921.78","44,887"
VBBR3,Vibra Energia SA,0.0089,Energy,BR,"US$6,495,312.76","1,104,356"
ABG,Absa Group Ltd,0.0089,Financials,ZA,"US$6,486,540.64","442,988"
1803,Shimizu Corp,0.0089,Industrials,JP,"US$6,478,452.79","384,600"
ABVX,Abivax SA,0.0089,Health Care,FR,"US$6,466,409.43","48,865"
GALP,Galp Energia SGPS SA,0.0089,Energy,PT,"US$6,471,099.55","297,575"
3653,Jentech Precision Industrial Co Ltd,0.0089,Technology,TW,"US$6,468,149.59","57,156"
EMBJ3,Embraer SA,0.0088,Industrials,BR,"US$6,457,126.65","445,100"
DHER,Delivery Hero SE,0.0088,Consumer Discretionary,DE,"US$6,446,488.80","149,384"
VBL,Varun Beverages Ltd,0.0088,Consumer Staples,IN,"US$6,424,670.65","1,155,954"
MRL,Merlin Properties Socimi SA,0.0088,Real Estate,ES,"US$6,423,295.62","364,044"
3443,Global Unichip Corp,0.0088,Technology,TW,"US$6,410,432.40","43,000"
HKL,Hongkong Land Holdings Ltd,0.0088,Real Estate,SG,"US$6,413,754.00","841,700"
JKHY,Jack Henry & Associates Inc,0.0088,Industrials,US,"US$6,413,992.32","47,051"
BIMAS,BIM Birlesik Magazalar AS,0.0088,Consumer Staples,TR,"US$6,407,666.43","788,362"
TECHM,Tech Mahindra Ltd,0.0088,Technology,IN,"US$6,397,046.04","409,542"
DRRD,Dr Reddy's Laboratories Ltd,0.0088,Health Care,IN,"US$6,397,824.98","466,278"
LISP,Chocoladefabriken Lindt & Spruengli AG,0.0087,Consumer Staples,CH,"US$6,383,157.36",536
EN,Bouygues SA,0.0087,Industrials,FR,"US$6,379,819.05","108,345"
UAL,United Airlines Holdings Inc,0.0087,Consumer Discretionary,US,"US$6,380,010.00","55,575"
6845,Azbil Corp,0.0087,Industrials,JP,"US$6,367,399.02","609,700"
7270,Subaru Corp,0.0087,Consumer Discretionary,JP,"US$6,369,234.25","415,200"
COAL,Coal India Ltd,0.0087,Energy,IN,"US$6,356,447.30","1,318,765"
ADM,Admiral Group PLC,0.0087,Financials,GB,"US$6,353,043.42","142,995"
BVI,Bureau Veritas SA,0.0087,Industrials,FR,"US$6,352,583.96","209,375"
DSG,Descartes Systems Group Inc/The,0.0087,Technology,CA,"US$6,334,903.82","85,774"
MAERSKB,AP Moller - Maersk A/S,0.0086,Industrials,DK,"US$6,307,410.65","2,555"
ALINMA,Alinma Bank,0.0086,Financials,SA,"US$6,297,783.94","984,711"
HDFCAMC,HDFC Asset Management Co Ltd,0.0086,Financials,IN,"US$6,291,924.14","223,510"
BEZQ,Bezeq The Israeli Telecommunication Corp Ltd,0.0086,Telecommunications,IL,"US$6,285,649.25","2,199,938"
AC*,Arca Continental SAB de CV,0.0086,Consumer Staples,MX,"US$6,286,157.68","484,200"
CGPOWER,CG Power & Industrial Solutions Ltd,0.0086,Industrials,IN,"US$6,280,428.12","650,325"
MKS,Marks & Spencer Group PLC,0.0086,Consumer Staples,GB,"US$6,256,085.28","1,304,070"
1093,CSPC Pharmaceutical Group Ltd,0.0086,Health Care,HK,"US$6,247,390.72","6,528,440"
NEST,Nestle India Ltd,0.0085,Consumer Staples,IN,"US$6,244,993.65","417,358"
EQTL3,Equatorial SA,0.0085,Utilities,BR,"US$6,240,021.17","818,762"
BKT,Bankinter SA,0.0085,Financials,ES,"US$6,236,256.92","369,448"
2449,King Yuan Electronics Co Ltd,0.0085,Technology,TW,"US$6,197,618.55","591,000"
3003,Hulic Co Ltd,0.0085,Real Estate,JP,"US$6,188,985.58","579,885"
ANDR,ANDRITZ AG,0.0085,Industrials,AT,"US$6,193,427.85","67,956"
IAG,iA Financial Corp Inc,0.0085,Financials,CA,"US$6,183,712.24","49,560"
SKAB,Skanska AB,0.0084,Industrials,SE,"US$6,167,380.54","227,416"
APHS,Apollo Hospitals Enterprise Ltd,0.0084,Health Care,IN,"US$6,161,552.19","71,589"
REM,Remgro Ltd,0.0084,Financials,ZA,"US$6,162,410.51","523,889"
2395,Advantech Co Ltd,0.0084,Technology,TW,"US$6,162,252.64","389,971"
27,Galaxy Entertainment Group Ltd,0.0084,Consumer Discretionary,HK,"US$6,166,172.46","1,543,000"
047810,Korea Aerospace Industries Ltd,0.0084,Industrials,KR,"US$6,138,873.72","54,969"
